Date,Close,High,Low,Open,Volume,symbol
,DELHIVERY.NS,DELHIVERY.NS,DELHIVERY.NS,DELHIVERY.NS,DELHIVERY.NS,
2022-05-23,541.5499877929688,568.9000244140625,467.5,495.20001220703125,20829012,DELHIVERY.NS
2022-05-30,535.6500244140625,617.3499755859375,511.75,535.5,10071174,DELHIVERY.NS
2022-06-06,519.4000244140625,541.0,500.20001220703125,538.9500122070312,5375660,DELHIVERY.NS
2022-06-13,466.54998779296875,510.3999938964844,457.79998779296875,500.0,3019085,DELHIVERY.NS
2022-06-20,492.1000061035156,530.0,456.3500061035156,465.0,4214217,DELHIVERY.NS
2022-06-27,500.95001220703125,514.5,488.8500061035156,500.0,1397379,DELHIVERY.NS
2022-07-04,595.25,628.7000122070312,496.04998779296875,498.0,7968174,DELHIVERY.NS
2022-07-11,605.0999755859375,628.0,584.8499755859375,593.0,3297889,DELHIVERY.NS
2022-07-18,668.5999755859375,708.0,589.8499755859375,607.0,8700593,DELHIVERY.NS
2022-07-25,635.0,675.0,605.5499877929688,668.5,3527032,DELHIVERY.NS
2022-08-01,633.7000122070312,649.9000244140625,601.0,641.5,3318902,DELHIVERY.NS
2022-08-08,555.25,658.0,509.79998779296875,636.9000244140625,4266055,DELHIVERY.NS
2022-08-15,569.7999877929688,575.0,550.0,555.25,3276462,DELHIVERY.NS
2022-08-22,558.5999755859375,580.0,550.0,568.8499755859375,2598591,DELHIVERY.NS
2022-08-29,564.3499755859375,585.2000122070312,551.0,554.9500122070312,1674791,DELHIVERY.NS
2022-09-05,568.5,587.0,559.0,568.6500244140625,1889082,DELHIVERY.NS
2022-09-12,581.25,607.6500244140625,568.0499877929688,571.0,2046224,DELHIVERY.NS
2022-09-19,584.7000122070312,598.75,571.0,581.0,1599056,DELHIVERY.NS
2022-09-26,582.9000244140625,593.0499877929688,560.0,584.7000122070312,919404,DELHIVERY.NS
2022-10-03,601.4000244140625,608.7000122070312,550.0,582.8499755859375,1139032,DELHIVERY.NS
2022-10-10,561.0499877929688,595.0499877929688,553.2999877929688,593.0,767490,DELHIVERY.NS
2022-10-17,385.75,570.0,376.95001220703125,561.0999755859375,21015826,DELHIVERY.NS
2022-10-24,355.45001220703125,406.95001220703125,350.0,388.95001220703125,8479504,DELHIVERY.NS
2022-10-31,397.0,401.20001220703125,341.29998779296875,355.0,6561224,DELHIVERY.NS
2022-11-07,379.20001220703125,403.3999938964844,370.29998779296875,400.0,2536273,DELHIVERY.NS
2022-11-14,350.70001220703125,390.0,346.20001220703125,390.0,3342930,DELHIVERY.NS
2022-11-21,331.70001220703125,372.0,317.0,372.0,34704732,DELHIVERY.NS
2022-11-28,348.79998779296875,350.0,306.0,331.5,21889599,DELHIVERY.NS
2022-12-05,352.04998779296875,362.79998779296875,332.1000061035156,351.04998779296875,12347175,DELHIVERY.NS
2022-12-12,363.75,379.5,345.95001220703125,350.0,17599723,DELHIVERY.NS
2022-12-19,319.8999938964844,361.3500061035156,315.04998779296875,360.6499938964844,2958622,DELHIVERY.NS
